id,class
46081,7
17939,9
49450,3
43478,9
21339,4
56645,3
26849,3
25605,4
2373,0
41081,9
1734,1
37358,5
42632,0
14648,8
39211,5
40632,2
54179,4
3047,3
5430,8
23096,4
52558,0
25031,6
2329,5
33721,9
38504,7
45918,8
53818,6
34716,3
58789,1
17006,5
26727,5
34315,3
2971,8
44679,1
11441,3
28094,1
21750,2
16506,6
8333,4
45018,5
11693,3
59738,1
24678,1
30188,7
27816,1
4978,1
31178,3
40721,4
16891,6
46770,7
38180,3
9589,5
14464,1
18224,2
3509,1
43481,4
14101,6
42850,5
33865,1
19344,7
32496,1
8904,1
5963,1
44244,9
4762,3
41273,6
52204,0
46516,0
21121,2
30251,3
20753,8
26902,9
29675,3
10111,5
53260,4
41052,0
23315,0
28847,6
24741,9
13372,1
4808,3
36009,2
2941,3
21577,2
44842,4
709,0
39652,1
33456,1
50961,6
12748,0
7129,0
54660,3
20342,5
2929,7
15571,5
7890,9
13461,9
50838,1
43940,6
51154,3
21127,1
26888,2
42602,1
31245,1
58533,2
28302,6
46569,9
15408,8
8167,7
37587,9
7349,1
48060,8
37949,8
40798,6
26095,0
44817,6
34665,9
10867,9
32035,2
39026,7
7234,1
43165,8
15293,1
57032,7
36912,3
142,4
37554,0
25225,3
41008,9
6394,0
48097,9
734,8
41379,7
29421,0
21355,0
6152,8
40465,7
3322,9
1414,6
2641,2
27083,7
55019,6
52381,1
36237,6
49059,0
25145,3
47771,4
24999,9
4367,6
17936,9
59155,0
6089,3
44441,6
37561,7
27216,5
32339,3
14633,2
32645,7
24712,9
12989,9
36568,2
48650,1
36704,2
47930,3
12797,2
47915,5
45453,2
36610,8
50857,1
9152,8
38190,6
24306,1
29031,9
21146,8
41094,5
30497,9
5799,3
51732,8
40777,8
14759,1
55924,4
10732,0
53683,9
44920,7
2880,6
8181,8
33918,1
50592,5
47511,7
14631,1
32366,9
30568,8
38353,9
9431,4
21362,1
34399,9
32971,8
42588,3
55758,3
55911,0
2135,8
50621,1
8157,0
4469,2
51898,2
29555,5
20190,5
50882,9
12699,6
14833,7
31922,9
42874,1
41947,8
38749,0
19771,7
25219,6
40116,4
42760,5
8216,9
58840,4
51617,3
12519,5
36618,1
25290,0
41012,0
45405,2
3180,5
56305,3
12529,9
32598,5
3841,6
52582,2
3352,4
50797,1
32915,5
43641,5
47680,4
3281,8
39830,1
29491,7
50536,7
2556,6
37756,3
27410,1
28341,8
40855,9
8259,3
26574,5
42012,2
25624,9
2890,0
33347,4
53129,7
23584,2
31884,2
56059,4
44683,8
17112,8
19311,4
15098,7
32233,5
47023,2
15225,8
36737,0
1021,3
9456,0
48779,4
59845,7
56708,9
53054,5
15609,9
5242,7
38545,1
21512,3
52659,2
10104,4
28628,0
6700,0
6652,4
5705,9
46699,8
39402,1
5361,4
1760,8
27495,4
43359,6
50985,5
54176,7
50806,9
19760,0
38021,4
25506,7
2648,2
55446,7
52598,6
13445,3
21857,2
21096,4
28858,3
21661,5
38016,1
47325,7
32926,8
14036,4
52229,4
36384,4
57675,6
26053,3
54375,2
22673,2
6356,1
41893,8
15231,1
275,4
47350,1
34970,7
21889,1
11384,2
53609,3
50599,4
19990,0
19233,4
45229,1
31959,8
5535,7
49041,2
56698,4
11051,1
42318,9
53437,9
18062,4
28541,7
42184,1
56478,9
46085,1
41890,6
57609,7
13907,7
14065,3
19266,3
4147,8
8472,0
53852,7
57429,7
8078,2
45010,6
49195,4
2570,6
9113,6
51024,0
19949,7
29601,8
23978,7
40462,3
4166,1
44070,6
15932,7
32218,8
45951,7
707,9
34204,3
13744,7
25037,6
36868,2
42282,7
12446,3
53028,8
25205,8
32646,5
51519,3
10130,2
22533,1
42553,4
48269,5
18142,7
57098,7
10691,0
40345,2
28442,4
20207,9
8346,4
48880,4
46899,3
22137,1
12383,1
48625,1
84,7
32455,6
26458,4
37529,0
47877,6
49149,3
18536,6
32253,8
45237,1
6304,7
48220,2
57177,7
14724,1
45050,8
20020,8
23826,2
47797,0
42337,5
21974,3
43864,9
8208,4
35301,2
2873,0
23380,0
56266,7
46331,5
24596,9
32624,6
55070,2
35165,3
29150,5
6101,4
44557,3
23567,5
29544,1
1181,1
38962,2
16370,3
35704,8
17709,0
39004,6
31439,7
15827,9
13923,1
28282,2
3863,7
13381,2
32102,8
26112,5
32832,4
31738,8
15285,5
42663,5
42455,4
54720,1
27119,6
28947,6
21683,2
16396,0
2510,2
38454,1
417,5
37913,3
17027,8
41006,4
43,9
5349,7
25917,6
8956,4
220,2
45540,0
28500,4
47439,7
15204,7
618,1
54034,8
35886,6
11427,6
56678,6
29964,7
43180,3
18451,1
14336,9
42005,0
2191,0
41131,7
53014,0
4902,9
53537,0
13547,0
44573,7
32430,2
14223,3
23443,7
43404,0
15239,9
57331,2
32837,8
59995,8
55371,1
28934,6
27001,4
28294,2
49590,7
40212,2
56564,4
55185,6
51542,2
29002,7
34786,9
47050,1
6180,5
4094,3
59586,1
53489,1
54387,8
46714,9
7104,6
35509,2
45417,0
56379,4
34082,5
46895,5
28048,5
26861,9
59638,7
57108,8
45611,4
19330,6
31742,7
41752,5
34572,4
51875,5
29358,4
39864,8
783,1
48351,8
20409,1
28250,1
56089,1
9884,1
3929,0
51496,7
48871,1
43632,2
1203,4
30505,9
54543,1
17727,1
21075,3
20377,3
4415,0
42211,7
47708,4
17348,8
15235,9
8722,8
54801,4
22548,2
54592,9
50472,1
15766,8
57296,0
35603,9
9996,8
28567,2
29850,7
50148,3
32938,6
7665,8
25218,4
13304,9
51464,0
2613,9
39366,3
17856,1
56463,6
27184,7
45309,6
54226,8
13090,1
34104,9
47669,3
25279,4
46860,0
50330,3
18092,4
31475,6
5691,1
40323,7
16960,1
58431,3
8852,2
32170,2
18169,3
13293,3
7866,7
52542,6
53719,7
51285,1
22948,9
48843,9
48615,5
25134,9
7479,8
39013,7
9488,2
56169,1
25935,5
12051,9
43146,9
58957,5
19479,7
17520,2
13440,8
42963,9
24141,7
11437,7
42594,7
8975,5
6291,3
52563,3
7708,0
1090,0
15051,6
25484,4
7438,7
15152,1
48266,1
13883,7
59971,2
23347,8
54420,6
23499,0
31370,1
7509,7
3102,2
4600,5
23051,7
1865,4
35557,3
7417,4
2681,8
14247,9
39327,3
18872,8
54111,5
52361,1
23416,6
18015,9
8674,9
44550,9
18995,2
47192,3
44085,9
36869,0
3327,6
41181,2
53788,0
34249,4
49228,3
6323,4
21546,0
173,5
57636,9
35231,3
35860,7
22971,7
4862,8
8694,8
51825,7
53575,0
51077,4
729,4
32821,9
51932,1
34855,4
17622,9
36754,8
3191,8
41969,3
5683,3
2728,9
32667,8
49510,6
7847,6
4812,4
26463,3
8886,2
15863,0
39100,3
39511,4
43655,6
13251,4
59590,5
35825,6
25214,0
54201,3
26081,3
26923,0
28759,3
6942,8
34713,3
37901,0
34185,4
3271,5
19470,8
55156,8
54279,4
46236,1
46736,3
5006,1
44512,7
9005,0
27198,6
1781,6
32211,6
1887,5
4864,3
52060,9
6022,8
47347,4
19747,9
54901,1
21056,3
51088,7
500,3
19684,6
317,2
55805,0
56289,2
12654,4
4302,5
23038,2
2146,3
49626,6
36463,2
54255,6
14882,4
26189,7
12453,7
9277,1
11024,4
40537,1
452,3
29759,5
51301,0
8735,7
10481,6
40521,0
57876,2
12900,9
37716,1
36242,3
39971,8
14585,1
40941,6
3996,1
11395,1
58439,5
58121,0
48470,4
30281,1
45847,4
9651,8
44968,8
59914,3
53121,2
35348,0
43113,2
48726,8
37177,6
16257,5
31605,9
15974,1
38665,2
51754,8
49755,7
5036,3
36119,3
20572,6
18512,4
33987,2
52920,4
15078,4
18615,3
55721,0
31251,4
19777,8
10279,2
18807,4
35674,5
56391,3
23464,0
30107,2
27030,8
36623,3
40227,5
11409,0
57827,0
35396,1
45329,7
26934,6
43406,1
48951,2
32611,2
40490,3
39150,7
45608,0
27109,0
46324,4
35783,8
47138,5
13087,6
41934,5
44943,7
20821,6
32817,6
58365,5
33327,0
26061,8
5850,1
12365,1
42909,3
11376,9
51887,5
5487,0
20746,1
36098,1
16428,0
44505,7
41952,8
21882,4
50484,5
54612,8
38241,3
24846,0
49665,4
13489,8
39786,3
59060,1
42536,4
28796,3
319,9
56111,7
10566,5
19298,6
5179,6
27748,9
47272,1
38002,1
53391,2
49182,9
58530,7
14173,8
5504,7
47691,4
58228,7
56179,6
11884,9
26765,6
37993,6
36192,8
21526,0
492,1
4159,0
16244,0
41843,3
39939,2
56687,2
7835,0
31964,7
27617,4
44460,6
59266,1
9222,0
9705,1
24431,1
39610,6
22556,5
12557,8
31000,6
59192,6
14138,7
32764,3
15802,2
